"cardmarketId","name","collectorNumber","rarity","expansion","expansionCode","scryfallId","tcgplayerId"
570939,"_____'s Celebi","012","Promo","PLAY Promos","PLAY",,
605393,"_____'s Chansey",,"Ultra Rare","Challenge from the Darkness","G2",,
570947,"_____'s Groudon","020","Promo","PLAY Promos","PLAY",,
570941,"_____'s Jirachi","014","Promo","PLAY Promos","PLAY",,
570946,"_____'s Kyogre","019","Promo","PLAY Promos","PLAY",,
570940,"_____'s Mew","013","Promo","PLAY Promos","PLAY",,
363650,"_____'s Oshawott",,"Oversized","Promos","PR",,
572013,"_____'s Oshawott",,"Promo","BW Promos","BW-P",,
275443,"_____'s Pikachu","24","Promo","Wizards Black Star Promos","WP",,
571803,"_____'s Pikachu",,"Promo","Unnumbered Promos","UNP",,
571802,"_____'s Pikachu",,"Promo","Unnumbered Promos","UNP",,
572007,"_____'s Pikachu",,"Promo","Unnumbered Promos","UNP",,
572008,"_____'s Pikachu",,"Promo","BW Promos","BW-P",,
572009,"_____'s Pikachu",,"Promo","BW Promos","BW-P",,
576778,"_____'s Pikachu","WP 24","Promo","Celebrations","CEL",,250325
576936,"_____'s Pikachu","WP 24","Promo","Pikachu World Collection","PWC",,159115
577410,"_____'s Pikachu","007","Fixed","25th Anniversary Edition","s8a-P",,
570948,"_____'s Rayquaza","021","Promo","PLAY Promos","PLAY",,
363648,"_____'s Snivy",,"Oversized","Promos","PR",,
572011,"_____'s Snivy",,"Promo","BW Promos","BW-P",,
363649,"_____'s Tepig",,"Oversized","Promos","PR",,
572012,"_____'s Tepig",,"Promo","BW Promos","BW-P",,
549111,"20 Damage from Confusion",,"Fixed","Expansion Sheet","EXS",,
294127,"25x Online Code Card",,"Common","Pokémon Products","PKM",,
549116,"3 Deck Battle",,"Fixed","Expansion Sheet","EXS",,
549121,"3 vs 3 Dugtrio Team Battle",,"Fixed","Expansion Sheet","EXS",,
549106,"4 Prize Battle",,"Fixed","Expansion Sheet","EXS",,
570096,"Aaron's Aura","019","Promo","Movie Commemoration VS Pack: Aura's Lucario","MAL",,
278662,"Aaron's Collection","88","Uncommon","Rising Rivals","RR",,
